Type;Official;Device family
0x83 (131);Fronius IG Plus 25 V-1;
0x82 (130);SPR 8001F-3 EU;
0x81 (129);Fronius IG Plus 60 V-1;
0x80 (128);Fronius IG Plus 60 V-2;
0xF8 (248);Fronius Galvo 3.1-1;Galvo
0xF7 (247);Fronius Symo 3.0-3-S;Symo 4k5
0xF2 (242);Fronius IG Plus 55 V-3;
0xF1 (241);Fronius IG Plus 60 V-3;
0xF0 (240);Fronius IG Plus 80 V-3;
0xEF (239);Fronius Galvo 3.1-1 Dummy;Galvo Dummy
0xEC (236);Fronius Symo 8.2-3-M Dummy;Symo 8k2 Multistring Dummy
0xE9 (233);Fronius Symo 12.5-3-M;Symo 20k Multistring
0xE8 (232);Fronius Symo 10.0-3-M;Symo 20k Multistring
0xE7 (231);Fronius Agilo 100.0-3 Dummy;
0xE6 (230);Fronius Agilo 75.0-3;
0xE4 (228);Fronius Galvo 1.5-1;Galvo
0xE2 (226);Fronius Galvo 2.0-1;Galvo
0xE1 (225);Fronius Galvo 2.5-1;Galvo
0xE0 (224);Fronius Galvo 3.0-1;Galvo
0x7F (127);Fronius Symo 3.7-3-S;Symo 4k5
0x7E (126);Fronius Symo 4.5-3-S;Symo 4k5
0x7D (125);Fronius Symo 5.5-3-M;Symo 8k2 Multistring
0x7C (124);Fronius Symo 6.7-3-M;Symo 8k2 Multistring
0x7B (123);Fronius Symo 8.2-3-M;Symo 8k2 Multistring
0x7A (122);Fronius Symo 5.0-3-M;Symo 8k2 Multistring
0x79 (121);Fronius Symo 20.0-3-M;Symo 20k Multistring
0x78 (120);Fronius Symo 20.0-3 Dummy;Symo 20k Multistring Dummy
0x77 (119);Fronius IG Plus 55 V-2;
0x76 (118);Fronius IG Plus 55 V-1;
0x75 (117);Fronius Agilo 100.0-3 Outdoor;
0x74 (116);Fronius Agilo 75.0-3 Outdoor;
0x73 (115);Fronius Symo 15.0-3-M;Symo 20k Multistring
0x72 (114);Fronius Symo 17.5-3-M;Symo 20k Multistring
0x71 (113);Fronius Symo 3.0-3-M;Symo 8k2 Multistring
0x70 (112);Fronius Symo 3.7-3-M;Symo 8k2 Multistring
0x6F (111);Fronius Symo 4.5-3-M;Symo 8k2 Multistring
0x6E (110);Fronius Symo 6.0-3-M;Symo 8k2 Multistring
0x6D (109);Fronius Galvo 1.5-1 208-240;Galvo
0x6C (108);Fronius Galvo 2.0-1 208-240;Galvo
0x6B (107);Fronius Galvo 2.5-1 208-240;Galvo
0x6A (106);Fronius Galvo 3.1-1 208-240;Galvo
0x69 (105);Fronius Symo 7.0-3-M;
0x68 (104);Fronius Agilo TL 460.0-3;
0x67 (103);Fronius Agilo TL 360.0-3;
0x66 (102);Fronius Primo 8.2-1;Primo ROW
0x65 (101);Fronius Primo 8.2-1 208-240;Primo US
0x64 (100);Fronius Primo 8.2-1 Dummy;Primo ROW
0x63 (99);Fronius Symo Hybrid 5.0-3-S;Symo Hybrid
0x62 (98);Fronius Symo 10.0-3 208-240;Symo 20k Multistring US 208-240
0x61 (97);Fronius Symo 12.0-3 208-240;Symo 20k Multistring US 208-240
0x60 (96);Fronius Symo 10.0-3 480;Symo 20k Multistring US 480
0x5F (95);Fronius Symo 12.5-3 480;Symo 20k Multistring US 480
0x5E (94);Fronius Symo 15.0-3 480;Symo 20k Multistring US 480
0x5D (93);Fronius Symo 17.5-3 480;Symo 20k Multistring US 480
0x5C (92);Fronius Symo 20.0-3 480;Symo 20k Multistring US 480
0x5B (91);Fronius Symo 22.7-3 480;Symo 20k Multistring US 480
0x5A (90);Fronius Symo 24.0-3 480;Symo 20k Multistring US 480
0x59 (89);Fronius Symo 24.0-3 USA Dummy;Symo 20k Multistring US Dummy
0x58 (88);Fronius Primo 7.6-1 208-240;Primo US
0x57 (87);Fronius Primo 6.0-1 208-240;Primo US
0x56 (86);Fronius Primo 5.0-1 208-240;Primo US
0x55 (85);Fronius Primo 3.8-1 208-240;Primo US
0x54 (84);Fronius IG Plus 120 V-1;IG Plus
0x53 (83);Fronius Symo Hybrid 3.0-3-S;Symo Hybrid
0x52 (82);Fronius Symo Hybrid 4.0-3-S;Symo Hybrid
0x51 (81);Fronius Primo 3.0-1;Primo ROW
0x50 (80);Fronius Primo 3.5-1;Primo ROW
0x4F (79);Fronius Primo 3.6-1;Primo ROW
0x4E (78);Fronius Primo 4.0-1;Primo ROW
0x4D (77);Fronius Primo 4.6-1;Primo ROW
0x4C (76);Fronius Primo 5.0-1;Primo ROW
0x4B (75);Fronius Primo 6.0-1;Primo ROW
0x4A (74);Remote Plant;
0x49 (73);FRONIUS Eco 25.0-3-S;Eco
0x48 (72);FRONIUS Eco 27.0-3-S;Eco
0x47 (71);FRONIUS Symo 15.0-3 208;Eco US 208-220
